,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
1,37,17,58,2,1.56,3,1,v England,Nagpur,13-Dec-12
2,33,17,59,1,1.78,5,3,v England,Nagpur,13-Dec-12
3,36,10,71,2,1.97,5,1,v Australia,Chennai,22-Feb-13
4,31,8,72,3,2.32,3,3,v Australia,Chennai,22-Feb-13
5,16,4,33,3,2.06,5,1,v Australia,Hyderabad (Deccan),2-Mar-13
6,18,8,33,3,1.83,4,3,v Australia,Hyderabad (Deccan),2-Mar-13
7,31,7,77,3,2.48,5,1,v Australia,Mohali,14-Mar-13
8,16.2,6,35,3,2.14,4,3,v Australia,Mohali,14-Mar-13
9,29,8,40,2,1.37,5,1,v Australia,Delhi,22-Mar-13
10,16,2,58,5,3.62,3,3,v Australia,Delhi,22-Mar-13
11,58.2,15,138,6,2.36,4,2,v South Africa,Durban,26-Dec-13
12,4,0,16,0,4,3,4,v South Africa,Durban,26-Dec-13
13,26,1,120,1,4.61,4,1,v New Zealand,Auckland,6-Feb-14
14,9,4,10,1,1.11,4,3,v New Zealand,Auckland,6-Feb-14
15,2,1,12,0,6,4,1,v New Zealand,Wellington,14-Feb-14
16,52,11,115,1,2.21,4,3,v New Zealand,Wellington,14-Feb-14
17,35,5,80,0,2.28,4,2,v England,Nottingham,9-Jul-14
18,18.5,1,46,2,2.44,5,2,v England,Lord's,17-Jul-14
19,32.2,7,53,1,1.63,4,4,v England,Lord's,17-Jul-14
20,45.4,10,153,2,3.35,5,1,v England,Southampton,27-Jul-14
21,10.4,1,52,3,4.87,5,3,v England,Southampton,27-Jul-14
22,13.3,1,36,1,2.66,5,2,v England,Manchester,7-Aug-14
23,18,0,55,3,3.05,4,2,v South Africa,Mohali,5-Nov-15
24,11.5,4,21,5,1.77,2,4,v South Africa,Mohali,5-Nov-15
25,16,2,50,4,3.12,5,1,v South Africa,Bengaluru,14-Nov-15
26,12,3,33,4,2.75,3,2,v South Africa,Nagpur,25-Nov-15
27,25,12,34,0,1.36,3,4,v South Africa,Nagpur,25-Nov-15
28,12,2,30,5,2.5,4,2,v South Africa,Delhi,3-Dec-15
29,46,33,26,2,0.56,3,4,v South Africa,Delhi,3-Dec-15
30,24,9,27,1,1.12,5,2,v West Indies,Gros Islet,9-Aug-16
31,5.3,1,20,2,3.63,5,4,v West Indies,Gros Islet,9-Aug-16
32,34,7,73,5,2.14,3,2,v New Zealand,Kanpur,22-Sep-16
33,34,17,58,1,1.7,3,4,v New Zealand,Kanpur,22-Sep-16
34,12,4,40,1,3.33,3,2,v New Zealand,Kolkata,30-Sep-16
35,20,3,41,3,2.05,4,4,v New Zealand,Kolkata,30-Sep-16
36,28,5,80,2,2.85,4,2,v New Zealand,Indore,8-Oct-16
37,16,3,45,2,2.81,4,4,v New Zealand,Indore,8-Oct-16
38,30,4,86,3,2.86,4,1,v England,Rajkot,9-Nov-16
39,15,1,47,0,3.13,2,3,v England,Rajkot,9-Nov-16
40,29,10,57,1,1.96,3,2,v England,Visakhapatnam,17-Nov-16
41,34,14,35,2,1.02,4,4,v England,Visakhapatnam,17-Nov-16
42,23,4,59,2,2.56,5,1,v England,Mohali,26-Nov-16
43,30,12,62,2,2.06,4,3,v England,Mohali,26-Nov-16
44,37.1,5,109,4,2.93,5,1,v England,Mumbai,8-Dec-16
45,22,3,63,2,2.86,3,3,v England,Mumbai,8-Dec-16
46,45,9,106,3,2.35,3,1,v England,Chennai,16-Dec-16
47,25,5,48,7,1.92,3,3,v England,Chennai,16-Dec-16
48,33,8,70,2,2.12,5,2,v Bangladesh,Hyderabad (Deccan),9-Feb-17
49,37,15,78,4,2.1,5,4,v Bangladesh,Hyderabad (Deccan),9-Feb-17
50,24,4,74,2,3.08,4,1,v Australia,Pune,23-Feb-17
51,33,10,65,3,1.96,2,3,v Australia,Pune,23-Feb-17
52,21.4,1,63,6,2.9,4,2,v Australia,Bengaluru,4-Mar-17
53,8,5,3,1,0.37,4,4,v Australia,Bengaluru,4-Mar-17
54,49.3,8,124,5,2.5,4,1,v Australia,Ranchi,16-Mar-17
55,44,18,54,4,1.22,2,3,v Australia,Ranchi,16-Mar-17
56,15,1,57,1,3.8,4,1,v Australia,Dharamsala,25-Mar-17
57,18,7,24,3,1.33,4,3,v Australia,Dharamsala,25-Mar-17
