"","customerID","gender","SeniorCitizen","Partner","Dependents"
"1","7590-VHVEG","female","0","yes","No"
"2","5575-GNVDE","male","0","no","No"
"3","3668-QPYBK","male","0","no","No"
"4","7795-CFOCW","male","0","no","No"
"5","9237-HQITU","female","0","no","No"
"6","9305-CDSKC","female","0","no","No"
"7","1452-KIOVK","male","0","no","Yes"
"8","6713-OKOMC","female","0","no","No"
"9","7892-POOKP","female","0","yes","No"
"10","6388-TABGU","male","0","no","Yes"
"11","9763-GRSKD","male","0","yes","Yes"
"12","7469-LKBCI","male","0","no","No"
"13","8091-TTVAX","male","0","yes","No"
"14","0280-XJGEX","male","0","no","No"
"15","5129-JLPIS","male","0","no","No"
"16","3655-SNQYZ","female","0","yes","Yes"
"17","8191-XWSZG","female","0","no","No"
"18","9959-WOFKT","male","0","no","Yes"
"19","4190-MFLUW","female","0","yes","Yes"
"20","4183-MYFRB","female","0","no","No"
"21","8779-QRDMV","male","1","no","No"
"22","1680-VDCWW","male","0","yes","No"
"23","1066-JKSGK","male","0","no","No"
"24","3638-WEABW","female","0","yes","No"
"25","6322-HRPFA","male","0","yes","Yes"
"26","6865-JZNKO","female","0","no","No"
"27","6467-CHFZW","male","0","yes","Yes"
"28","8665-UTDHZ","male","0","yes","Yes"
"29","5248-YGIJN","male","0","yes","No"
"30","8773-HHUOZ","female","0","no","Yes"
"31","3841-NFECX","female","1","yes","No"
"32","4929-XIHVW","male","1","yes","No"
"33","6827-IEAUQ","female","0","yes","Yes"
"34","7310-EGVHZ","male","0","no","No"
"35","3413-BMNZE","male","1","no","No"
"36","6234-RAAPL","female","0","yes","Yes"
"37","6047-YHPVI","male","0","no","No"
"38","6572-ADKRS","female","0","no","No"
"40","5380-WJKOV","male","0","no","No"
"41","8168-UQWWF","female","0","no","No"
"42","8865-TNMNX","male","0","yes","Yes"
"43","9489-DEDVP","female","0","yes","Yes"
"44","9867-JCZSP","female","0","yes","Yes"
"45","4671-VJLCL","female","0","no","No"
"46","4080-IIARD","female","0","yes","No"
"47","3714-NTNFO","female","0","no","No"
"48","5948-UJZLF","male","0","no","No"
"49","7760-OYPDY","female","0","no","No"
"50","7639-LIAYI","male","0","no","No"
"51","2954-PIBKO","female","0","yes","Yes"
"52","8012-SOUDQ","female","1","no","No"
"53","9420-LOJKX","female","0","no","No"
"54","6575-SUVOI","female","1","yes","No"
"55","7495-OOKFY","female","1","yes","No"
"56","4667-QONEA","female","1","yes","Yes"
"57","1658-BYGOY","male","1","no","No"
"58","8769-KKTPH","female","0","yes","Yes"
"59","5067-XJQFU","male","1","yes","Yes"
"60","3957-SQXML","female","0","yes","Yes"
"61","5954-BDFSG","female","0","no","No"
"62","0434-CSFON","female","0","yes","No"
"63","1215-FIGMP","male","0","no","No"
"64","0526-SXDJP","male","0","yes","No"
"65","0557-ASKVU","female","0","yes","Yes"
"66","5698-BQJOH","female","0","no","No"
"67","5122-CYFXA","female","0","no","No"
"68","8627-ZYGSZ","male","0","yes","No"
"69","3410-YOQBQ","female","0","no","No"
"70","3170-NMYVV","female","0","yes","Yes"
"71","7410-OIEDU","male","0","no","No"
"72","2273-QCKXA","male","0","no","No"
"73","0731-EBJQB","female","0","yes","Yes"
"74","1891-QRQSA","male","1","yes","Yes"
"75","8028-PNXHQ","male","0","yes","Yes"
"76","5630-AHZIL","female","0","no","Yes"
"77","2673-CXQEU","female","1","no","No"
"78","6416-JNVRK","female","0","no","No"
"79","5590-ZSKRV","female","0","yes","Yes"
"80","0191-ZHSKZ","male","1","no","No"
"81","3887-PBQAO","female","0","yes","Yes"
"82","5919-TMRGD","female","0","no","Yes"
"83","8108-UXRQN","female","0","yes","Yes"
"84","9191-MYQKX","female","0","yes","No"
"85","9919-YLNNG","female","0","no","No"
"86","0318-ZOPWS","female","0","yes","No"
"87","4445-ZJNMU","male","0","no","No"
"88","4808-YNLEU","female","0","yes","No"
"89","1862-QRWPE","female","0","yes","Yes"
"90","2796-NNUFI","female","0","yes","Yes"
"91","3016-KSVCP","male","0","yes","No"
"92","4767-HZZHQ","male","0","yes","Yes"
"93","2424-WVHPL","male","1","no","No"
"94","7233-PAHHL","male","0","yes","Yes"
"95","6067-NGCEU","female","0","no","No"
"96","9848-JQJTX","male","0","no","No"
"97","8637-XJIVR","female","0","no","No"
"98","9803-FTJCG","male","0","yes","Yes"
"99","0278-YXOOG","male","0","no","No"
"100","3212-KXOCR","male","0","no","No"
"101","4598-XLKNJ","female","1","yes","No"
"102","6380-ARCEH","male","0","no","No"
"103","3679-XASPY","female","0","yes","Yes"
"104","7123-WQUHX","male","0","no","No"
"105","5386-THSLQ","female","1","yes","No"
"106","3192-NQECA","male","0","yes","No"
"107","6180-YBIQI","male","0","no","No"
"108","6728-DKUCO","female","0","yes","Yes"
"109","9750-BOOHV","female","0","no","No"
"110","8597-CWYHH","male","0","no","No"
"111","2848-YXSMW","male","0","yes","Yes"
"112","0486-HECZI","male","0","yes","No"
"113","4549-ZDQYY","female","0","no","No"
"114","5712-AHQNN","female","0","no","No"
"115","4846-WHAFZ","female","1","yes","No"
"116","5256-SKJGO","female","0","yes","Yes"
"117","3071-VBYPO","male","0","yes","Yes"
"118","9560-BBZXK","female","0","no","No"
"119","5299-RULOA","female","0","yes","Yes"
"120","8402-OOOHJ","female","0","no","No"
"121","9445-ZUEQE","male","0","yes","Yes"
"122","1091-SOZGA","female","0","yes","Yes"
"123","2928-HLDBA","female","0","no","No"
"124","0404-SWRVG","male","0","no","No"
"125","6497-TILVL","female","0","yes","Yes"
"126","7219-TLZHO","female","0","yes","Yes"
"127","4622-YNKIJ","male","0","no","No"
"128","4412-YLTKF","female","1","no","No"
"129","6734-PSBAW","male","0","yes","No"
"130","3930-ZGWVE","male","0","no","No"
"131","2639-UGMAZ","male","1","no","No"
"132","2876-GZYZC","female","0","no","No"
"133","6207-WIOLX","female","0","yes","Yes"
"134","8587-XYZSF","male","0","no","No"
"135","3091-FYHKI","male","0","no","No"
